,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
65,17_3,6/1/2019,5625,50053613,0,0,Siddipet,Jun,Q1,2019
66,20_3,6/1/2019,2388,27212704,0,0,Rajanna Sircilla,Jun,Q1,2019
67,21_5,6/1/2019,1392,18292822,0,0,Mahabubabad,Jun,Q1,2019
68,23_1,6/1/2019,7146,104282218,0,0,Nalgonda,Jun,Q1,2019
69,23_3,6/1/2019,9280,106077226,0,0,Yadadri Bhuvanagiri,Jun,Q1,2019
70,20_1,6/1/2019,3276,63248165,0,0,Karimnagar,Jun,Q1,2019
71,20_4,6/1/2019,2053,33732651,0,0,Peddapalli,Jun,Q1,2019
72,16_1,6/1/2019,5015,746210249,0,0,Hyderabad,Jun,Q1,2019
73,14_3,6/1/2019,4267,29213266,0,0,Nagarkurnool,Jun,Q1,2019
74,15_2,6/1/2019,11808,942570587,0,0,Medchal_Malkajgiri,Jun,Q1,2019
75,21_6,6/1/2019,721,6553495,0,0,Mulugu,Jun,Q1,2019
76,22_2,6/1/2019,705,13006275,0,0,Bhadradri Kothagudem,Jun,Q1,2019
77,20_2,6/1/2019,2672,32368172,0,0,Jagtial,Jun,Q1,2019
78,14_2,6/1/2019,1753,24300464,0,0,Jogulamba Gadwal,Jun,Q1,2019
79,21_2,6/1/2019,1276,14677798,0,0,Warangal,Jun,Q1,2019
80,22_1,6/1/2019,5049,99823253,0,0,Khammam,Jun,Q1,2019
81,17_2,6/1/2019,8251,388914751,0,0,Sangareddy,Jun,Q1,2019
82,23_2,6/1/2019,3319,46934818,0,0,Suryapet,Jun,Q1,2019
83,19_4,6/1/2019,520,5626095,0,0,Kumurambheem Asifabad,Jun,Q1,2019
84,19_3,6/1/2019,1994,26534317,0,0,Mancherial,Jun,Q1,2019
85,18_2,6/1/2019,3595,34889349,0,0,Kamareddy,Jun,Q1,2019
86,19_1,6/1/2019,824,11443194,0,0,Adilabad,Jun,Q1,2019
87,14_5,6/1/2019,1701,12770293,0,0,Narayanpet,Jun,Q1,2019
88,14_4,6/1/2019,2527,17696126,0,0,Wanaparthy,Jun,Q1,2019
89,18_1,6/1/2019,5258,66957257,0,0,Nizamabad,Jun,Q1,2019
90,19_2,6/1/2019,1860,20888875,0,0,Nirmal,Jun,Q1,2019
91,21_1,6/1/2019,4541,141468882,0,0,Hanumakonda,Jun,Q1,2019
92,15_1,6/1/2019,24084,2089441609,0,0,Rangareddy,Jun,Q1,2019
93,17_1,6/1/2019,2613,45801812,0,0,Medak,Jun,Q1,2019
94,21_3,6/1/2019,2766,34975070,0,0,Jangoan,Jun,Q1,2019
95,15_3,6/1/2019,2072,29390216,0,0,Vikarabad,Jun,Q1,2019
96,14_1,7/1/2019,5056,58994710,0,0,Mahabubnagar,Jul,Q2,2019
97,17_3,7/1/2019,5575,47714647,0,0,Siddipet,Jul,Q2,2019
98,20_3,7/1/2019,2413,25639647,0,0,Rajanna Sircilla,Jul,Q2,2019
99,21_5,7/1/2019,1858,19590782,0,0,Mahabubabad,Jul,Q2,2019
100,23_1,7/1/2019,8928,115173858,0,0,Nalgonda,Jul,Q2,2019
101,23_3,7/1/2019,9448,134999011,0,0,Yadadri Bhuvanagiri,Jul,Q2,2019
102,20_1,7/1/2019,3675,69644228,0,0,Karimnagar,Jul,Q2,2019
103,20_4,7/1/2019,2236,34112815,0,0,Peddapalli,Jul,Q2,2019
104,16_1,7/1/2019,5573,658623385,0,0,Hyderabad,Jul,Q2,2019
105,14_3,7/1/2019,4185,28345301,0,0,Nagarkurnool,Jul,Q2,2019
106,15_2,7/1/2019,14497,1017656366,0,0,Medchal_Malkajgiri,Jul,Q2,2019
107,21_6,7/1/2019,1022,9855642,0,0,Mulugu,Jul,Q2,2019
108,22_2,7/1/2019,708,13359678,0,0,Bhadradri Kothagudem,Jul,Q2,2019
109,20_2,7/1/2019,3106,35101355,0,0,Jagtial,Jul,Q2,2019
110,14_2,7/1/2019,3068,22574155,0,0,Jogulamba Gadwal,Jul,Q2,2019
111,21_2,7/1/2019,1451,17966223,0,0,Warangal,Jul,Q2,2019
112,22_1,7/1/2019,5472,98933054,0,0,Khammam,Jul,Q2,2019
113,17_2,7/1/2019,10308,406370671,0,0,Sangareddy,Jul,Q2,2019
114,23_2,7/1/2019,4709,70377544,0,0,Suryapet,Jul,Q2,2019
115,19_4,7/1/2019,504,5472687,0,0,Kumurambheem Asifabad,Jul,Q2,2019
116,19_3,7/1/2019,2434,33016334,0,0,Mancherial,Jul,Q2,2019
117,18_2,7/1/2019,3835,32920357,0,0,Kamareddy,Jul,Q2,2019
118,19_1,7/1/2019,1186,17853370,0,0,Adilabad,Jul,Q2,2019
119,14_5,7/1/2019,2187,16498551,0,0,Narayanpet,Jul,Q2,2019
